date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:43:14	46825/46825	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Mar%202022%2023:54:52%20GMT	home-2.html	D:/Pooja/Unified%20Bills/Website/home-2.html	(from )
15:43:15	627/627	---MCZ	200	added ('OK')	text/plain	date:Mon,%2029%20Sep%202025%2010:13:12%20GMT	robots.txt		(from )
15:43:16	746/746	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Jun%202022%2019:37:32%20GMT	img/favicon.ico	D:/Pooja/Unified%20Bills/Website/img/favicon.ico	(from home-2.html)
15:43:16	56517/56517	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-dcc5%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	D:/Pooja/Unified%20Bills/Website/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	(from home-2.html)
15:43:16	63666/63666	---M-Z	200	added ('OK')	text/css	etag:W/%22f8b2-v7ZMVELJO4O8jF4rcNGwrm8YAaE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	D:/Pooja/Unified%20Bills/Website/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	(from home-2.html)
15:43:18	16964/16964	---MCZ	200	added ('OK')	text/css	date:Mon,%2008%20Jan%202018%2023:14:10%20GMT	lib/animate/animate.min.css	D:/Pooja/Unified%20Bills/Website/lib/animate/animate.min.css	(from home-2.html)
15:43:18	2936/2936	---M-Z	200	added ('OK')	text/css	date:Wed,%2001%20Mar%202017%2009:43:12%20GMT	lib/owlcarousel/assets/owl.carousel.min.css	D:/Pooja/Unified%20Bills/Website/lib/owlcarousel/assets/owl.carousel.min.css	(from home-2.html)
15:43:19	9058/9058	---MCZ	200	added ('OK')	text/css	date:Sat,%2027%20Mar%202021%2015:14:36%20GMT	lib/tempusdominus/css/tempusdominus-bootstrap-4.min.css	D:/Pooja/Unified%20Bills/Website/lib/tempusdominus/css/tempusdominus-bootstrap-4.min.css	(from home-2.html)
15:43:20	6537/6537	---M-Z	200	added ('OK')	text/css	date:Wed,%2028%20Nov%202018%2009:19:44%20GMT	lib/twentytwenty/twentytwenty.css	D:/Pooja/Unified%20Bills/Website/lib/twentytwenty/twentytwenty.css	(from home-2.html)
15:43:22	163966/163966	---MCZ	200	added ('OK')	text/css	date:Sun,%2027%20Feb%202022%2001:36:00%20GMT	css/bootstrap.min.css	D:/Pooja/Unified%20Bills/Website/css/bootstrap.min.css	(from home-2.html)
15:43:22	18479/18479	---M-Z	200	added ('OK')	text/css	date:Wed,%2002%20Mar%202022%2000:24:34%20GMT	css/style.css	D:/Pooja/Unified%20Bills/Website/css/style.css	(from home-2.html)
